id_note,id_etudiant,ue_id,note
1,473862,1202,11.98
2,473862,1203,8.37
3,473862,1204,8.51
4,473862,1205,11.87
5,473862,1206,18.56
6,473862,1207,17.37
7,473862,1208,15.13
8,156225,604,5.21
9,156225,605,11.85
10,156225,606,17.37
11,156225,607,16.17
12,156225,608,4.55
13,156225,609,7.35
14,156225,610,9.57
15,156225,611,8.78
16,156225,612,12.08
17,988419,439,10.61
18,988419,440,9.05
19,988419,441,14.58
20,988419,442,8.54
21,988419,443,8.48
22,988419,444,6.07
23,988419,445,8.56
24,988419,446,7.35
25,775379,447,9.15
26,775379,448,12.82
27,775379,449,7.17
28,775379,450,7.14
29,775379,451,14.19
30,775379,452,12.09
31,775379,453,14.73
32,775379,454,9.33
33,775379,455,8.76
34,191563,721,16.25
35,191563,722,5.67
36,191563,723,14.33
37,191563,724,16.04
38,191563,725,16.61
39,191563,726,13.19
40,191563,727,12.8
41,191563,728,4.7
42,191563,729,17.75
43,191563,730,11.32
44,390237,961,8.69
45,390237,962,14.48
46,390237,963,9.9
47,390237,964,6.47
48,390237,965,11.71
49,390237,966,14.84
50,390237,967,7.2
51,390237,968,12.98
52,390237,969,13.68
53,334558,146,10.68
54,334558,147,3.62
55,334558,148,9.11
56,334558,149,3.57
57,334558,150,13.39
58,334558,151,13.25
59,334558,152,5.15
60,334558,153,10.94
61,700295,489,5.81
62,700295,490,15.47
63,700295,491,9.88
64,700295,492,12.99
65,700295,493,15.2
66,700295,494,9.02
67,700295,495,14.51
68,700295,496,16.15
69,835746,1285,5.26
70,835746,1286,13.35
71,835746,1287,15.3
72,835746,1288,8.8
73,835746,1289,8.62
74,835746,1290,9.21
75,835746,1291,8.35
76,835746,1292,2.49
77,835746,1293,10.46
78,200275,1246,11.06
79,326927,679,12.83
80,326927,680,17.52
81,326927,681,11.96
82,326927,682,10.19
83,326927,683,13.29
84,326927,684,5.77
85,661857,1236,2.63
86,661857,1237,2.89
87,661857,1238,13.12
88,661857,1239,5.56
89,661857,1240,1.73
90,661857,1241,11.18
91,661857,1242,9.91
92,661857,1243,8.57
93,661857,1244,10.05
94,661857,1245,18.48
95,827424,933,13.73
96,827424,934,15.14
97,827424,935,11.98
98,827424,936,13.81
99,827424,937,12.45
100,827424,938,2.59
101,827424,939,9.24
102,827424,940,14.17
103,827424,941,12.07
104,395545,635,6.58
105,395545,636,14.8
106,395545,637,17.14
107,395545,638,9.98
108,395545,639,8.06
109,395545,640,11.81
110,395545,641,15.96
111,395545,642,4.91
112,395545,643,6.79
113,395545,644,15.32
114,897888,1315,5.55
115,897888,1316,5.75
116,897888,1317,13.34
117,897888,1318,8.32
118,897888,1319,7.13
119,897888,1320,15.03
120,897888,1321,11.59
121,897888,1322,11.04
122,897888,1323,9.28
123,897888,1324,11.45
124,897888,1325,15.44
125,897888,1326,14.38
126,704814,1067,11.46
127,704814,1068,16.0
128,704814,1069,8.03
129,704814,1070,0.97
130,704814,1071,14.48
131,704814,1072,9.37
132,704814,1073,13.11
133,704814,1074,11.07
134,704814,1075,9.21
135,440773,897,8.75
136,440773,898,8.36
137,440773,899,10.55
138,440773,900,18.36
139,440773,901,10.43
140,440773,902,1.46
141,440773,903,8.67
142,440773,904,7.92
143,440773,905,8.97
