nom_parcours,nom_specialite,id_parcours,statut
Licence Fondamentale en Sciences de l'Ingénieur,Génie Civil,1069,ACTUEL
[EPL]-Licence Fondamentale en Sciences de l'Ingénieur,Génie Electrique,1070,ACTUEL
Licence Fondamentale en Sciences de l'Ingénieur,Génie Mécanique,1071,ACTUEL
Licence Fondamentale en Sciences de l'Ingénieur,Informatique et Systèmes,1072,ACTUEL
Licence Fondamentale en Sciences de l'Ingénieur,Intelligence Artificielle et Big Data,1073,ACTUEL
Licence Fondamentale en Sciences de l'Ingénieur,Logistique et Transport,1074,ACTUEL
Licence Fondamentale en Sciences de l’Ingénierie,Génie Civil,1094,ANCIEN
Licence Fondamentale en Sciences de l’Ingénierie,Génie Electrique,1093,ANCIEN
Licence Fondamentale en Sciences de l’Ingénierie,Génie Mécanique,1095,ANCIEN
Licence Professionnelle en Sciences de l'Ingénieur,Génie Civil,1075,ACTUEL
[EPL]-Licence Professionnelle en Sciences de l'Ingénieur,Génie Electrique,1076,ACTUEL
Licence Professionnelle en Sciences de l'Ingénieur,Génie Logiciel,1078,ACTUEL
Licence Professionnelle en Sciences de l'Ingénieur,Génie Mécanique,1077,ACTUEL
Licence Professionnelle en Sciences de l'Ingénieur,Systèmes et Réseaux,1079,ACTUEL
Licence Professionnelle en Sciences de l’Ingénierie,Génie Civil,1097,ANCIEN
Licence Professionnelle en Sciences de l’Ingénieur,Génie Civil,1100,ANCIEN
Licence Professionnelle en Sciences de l’Ingénieur,Génie Civil,1103,ANCIEN
Licence Professionnelle en Sciences de l’Ingénieur,Génie Electrique,1099,ANCIEN
Licence Professionnelle en Sciences de l’Ingénieur,Génie Electrique,1102,ANCIEN
Licence Professionnelle en Génie Logiciel,Génie Logiciel,1125,ANCIEN
Licence Professionnelle en Sciences de l’Ingénieur,Génie Mécanique,1101,ANCIEN
Licence Professionnelle en Sciences de l’Ingénieur,Génie Mécanique,1104,ANCIEN
Licence Professionnelle en Maintenance et Réseaux Informatiques,Maintenance et Réseaux Informatiques,1124,ANCIEN
Licence Professionnelle en Sciences de l’Ingénierie,Maintenance Industrielle,1098,ANCIEN
Sup en Entrepreneuriat,Diplôme Universitaire Entrepreneuriat - FC,1656,ACTUEL
Master Professionnel en Sciences de l'Ingénieur,Génie Civil,1080,ACTUEL
Master Professionnel en Sciences de l'Ingénieur,Génie Electrique,1081,ACTUEL
Master Professionnel en Sciences de l'Ingénieur,Génie Mécanique,1082,ACTUEL
Master Professionnel en Sciences de l'Ingénieur,Informatique et Systèmes,1083,ACTUEL
Master Professionnel en Sciences de l'Ingénieur,Ingénieur de conception en Ingénierie Electrique,1060,ACTUEL
Master Professionnel en Sciences de l'Ingénieur,Intelligence Artificielle et Big Data,1084,ACTUEL
Master Professionnel en Sciences de l'Ingénieur,Logistique et Transport,1085,ACTUEL
Master Recherche en Sciences de l'Ingénieur,Génie Civil,1717,ACTUEL
Master Recherche en Sciences de l'Ingénieur,"Ingénieur Recherche en Génie Electrique, Energie Electrique, Automatique, Télécoms",1719,ACTUEL
Master Recherche en Sciences de l'Ingénieur,Ingénieur Recherche en Ingénierie Electrique,1058,ACTUEL
Master Recherche en Sciences de l'Ingénieur,Supply Chain and Operation Management,1718,ACTUEL
