code_ue,nom_matiere,semestre,id_parcours,ue_id,id_enseignant
CHM1120,Chimie appliquée,1,1069,1,507456
FRA1120,Techniques de communication orales,1,1069,2,144428
INF1120,Algorithmique et Initiation à la programmation,1,1069,3,191950
MTH1120,Bases mathématiques,1,1069,4,940842
MTH1121,Calcul différentiel et Pratique,1,1069,5,569234
MTU1120,Méthode de travail universitaire,1,1069,6,997024
PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,1,1069,7,439646
PHY1121,Physique pour l'ingénieur : Électricité,1,1069,8,353789
ANG1221,Anglais : compréhension orale et écrite,2,1069,9,234419
FRA1220,Techniques de communication écrites,2,1069,10,276381
GEM1220,Géométrie descriptive et dessin,2,1069,11,837272
INF1220,Structure de données et programmation C,2,1069,12,181016
INF1221,Programmation Python,2,1069,13,790245
MTH1220,Structure algébrique de base,2,1069,14,204317
MTH1221,Algèbre linéaire et Pratique,2,1069,15,914224
PHY1220,Mécanique du solide,2,1069,16,650718
INF1320,Programmation Orientée Objet,3,1069,17,160145
INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,1069,18,750417
MTH1320,Séries et intégrations multiple et généralisée,3,1069,19,662148
MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,3,1069,20,683110
MTH1322,Algèbre tensorielle,3,1069,21,545843
PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,3,1069,22,980659
PHY1321,Physique pour l'ingénieur : Optique,3,1069,23,131152
SEG1320,Economie et comptabilité,3,1069,24,493313
ANG1420,"Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite",4,1069,25,144428
GEC1422,Résistance des Matériaux pour GC,4,1069,26,845836
GEC1423,Hydraulique des bases,4,1069,27,566058
GEL1429,Installations électriques,4,1069,28,181016
MTH1420,Calcul différentiel dans Rn,4,1069,29,254977
MTH1421,Statistiques inférentielles (décisionnelles),4,1069,30,954001
MTH1422,Analyse numérique et Pratique,4,1069,31,363576
MTH1423,Théorie des graphes,4,1069,32,848595
GEC1520,Technique de construction,5,1069,33,767172
GEC1521,Structures,5,1069,34,400838
GEC1522,Topographie appliquée,5,1069,35,296062
GEC1523,Matériaux: de génie civil,5,1069,36,766149
GEC1524,Dessin appliqué au génie civil,5,1069,37,428249
GEC1525,Géotechnique,5,1069,38,662148
GEC1620,Routes,6,1069,39,270221
GEC1621,Béton Armé,6,1069,40,568037
GEC1622,Hydrologie de l' ingénieur,6,1069,41,983736
GEC1623,Métré et étude de prix,6,1069,42,181016
GEC1624,Construction métallique : notions de bases et technologie,6,1069,43,683110
GEC1625,Eau et assainissement:technologie,6,1069,44,957407
GEC1626,Mécanique des sols,6,1069,45,701451
CHM1120,Chimie appliquée,1,1070,46,440004
FRA1120,Techniques de communication orales,1,1070,47,255764
INF1120,Algorithmique et Initiation à la programmation,1,1070,48,796792
MTH1120,Bases mathématiques,1,1070,49,969481
MTH1121,Calcul différentiel et Pratique,1,1070,50,569234
MTU1120,Méthode de travail universitaire,1,1070,51,940842
PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,1,1070,52,589155
PHY1121,Physique pour l'ingénieur : Électricité,1,1070,53,938149
ANG1221,Anglais : compréhension orale et écrite,2,1070,54,796792
FRA1220,Techniques de communication écrites,2,1070,55,667681
GEM1220,Géométrie descriptive et dessin,2,1070,56,363474
INF1220,Structure de données et programmation C,2,1070,57,887135
INF1221,Programmation Python,2,1070,58,569234
MTH1220,Structure algébrique de base,2,1070,59,131961
MTH1221,Algèbre linéaire et Pratique,2,1070,60,720783
PHY1220,Mécanique du solide,2,1070,61,947373
INF1320,Programmation Orientée Objet,3,1070,62,841695
INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,1070,63,799952
MTH1320,Séries et intégrations multiple et généralisée,3,1070,64,589155
MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,3,1070,65,234419
MTH1322,Algèbre tensorielle,3,1070,66,709172
PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,3,1070,67,627738
PHY1321,Physique pour l'ingénieur : Optique,3,1070,68,131152
SEG1320,Economie et comptabilité,3,1070,69,320954
ANG1420,"Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite",4,1070,70,276269
GEL1420,Electronique,4,1070,71,736871
GEL1421,Electronique - Magnétisme - Machines - Réseaux,4,1070,72,767800
GEM1420,Notion de RDM pour ingénieur GE,4,1070,73,512889
MTH1420,Calcul différentiel dans Rn,4,1070,74,236084
MTH1421,Statistiques inférentielles (décisionnelles),4,1070,75,831383
MTH1422,Analyse numérique et Pratique,4,1070,76,518244
MTH1423,Théorie des graphes,4,1070,77,448168
GEL1520,"Production, Transport, Distribution et Protection",5,1070,78,556470
GEL1521,Electronique Numérique,5,1070,79,774325
GEL1522,Systèmes Signaux Simulation,5,1070,80,447789
GEL1523,Electronique du Signal et Composants,5,1070,81,151560
GEL1524,Appareillage et Câblage Electriques,5,1070,82,502637
GEL1525,Circuits et Mesures Electriques,5,1070,83,580746
GEL1526,Stage d'initiation au métier de génie électrique,5,1070,84,720783
GEL1620,Asservissement et Régulation des Systèmes Linéaire,6,1070,85,743679
GEL1622,Electrostatique - Electrocinétique - Electromagnétisme,6,1070,86,241174
GEL1623,Machines électriques,6,1070,87,767800
GEL1624,Système de Maintenance,6,1070,88,506412
GEL1625,Automate Programmable Industriel,6,1070,89,577733
GEL1626,Convertisseurs statiques,6,1070,90,845836
