Code ue;Matiere;Semestre;ParcoursID;ue ID
CHM1120;Chimie appliquée;1;1069;1
FRA1120;Techniques de communication orales;1;1069;2
INF1120;Algorithmique et Initiation à la programmation;1;1069;3
MTH1120;Bases mathématiques;1;1069;4
MTH1121;Calcul différentiel et Pratique;1;1069;5
MTU1120;Méthode de travail universitaire;1;1069;6
PHY1120;Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen;1;1069;7
PHY1121;Physique pour l'ingénieur : Électricité;1;1069;8
ANG1221;Anglais : compréhension orale et écrite;2;1069;9
FRA1220;Techniques de communication écrites;2;1069;10
GEM1220;Géométrie descriptive et dessin;2;1069;11
INF1220;Structure de données et programmation C;2;1069;12
INF1221;Programmation Python;2;1069;13
MTH1220;Structure algébrique de base;2;1069;14
MTH1221;Algèbre linéaire et Pratique;2;1069;15
PHY1220;Mécanique du solide;2;1069;16
INF1320;Programmation Orientée Objet;3;1069;17
INF1321;Architecture et technologie des ordinateurs et des Système d'information;3;1069;18
MTH1320;Séries et intégrations multiple et généralisée;3;1069;19
MTH1321;Mathématiques pour l’Ingénieur : Probabilités et Statistiques;3;1069;20
MTH1322;Algèbre tensorielle;3;1069;21
PHY1320;Physique pour l'ingénieur : Loi de la thermodynamique;3;1069;22
PHY1321;Physique pour l'ingénieur : Optique;3;1069;23
SEG1320;Economie et comptabilité;3;1069;24
ANG1420;Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite;4;1069;25
GEC1422;Résistance des Matériaux pour GC;4;1069;26
GEC1423;Hydraulique des bases;4;1069;27
GEL1429;Installations électriques;4;1069;28
MTH1420;Calcul différentiel dans Rn;4;1069;29
MTH1421;Statistiques inférentielles (décisionnelles);4;1069;30
MTH1422;Analyse numérique et Pratique;4;1069;31
MTH1423;Théorie des graphes;4;1069;32
GEC1520;Technique de construction;5;1069;33
GEC1521;Structures;5;1069;34
GEC1522;Topographie appliquée;5;1069;35
GEC1523;Matériaux: de génie civil;5;1069;36
GEC1524;Dessin appliqué au génie civil;5;1069;37
GEC1525;Géotechnique;5;1069;38
GEC1620;Routes;6;1069;39
GEC1621;Béton Armé;6;1069;40
GEC1622;Hydrologie de l' ingénieur;6;1069;41
GEC1623;Métré et étude de prix;6;1069;42
GEC1624;Construction métallique : notions de bases et technologie;6;1069;43
GEC1625;Eau et assainissement:technologie;6;1069;44
GEC1626;Mécanique des sols;6;1069;45
CHM1120;Chimie appliquée;1;1070;46
FRA1120;Techniques de communication orales;1;1070;47
INF1120;Algorithmique et Initiation à la programmation;1;1070;48
